"ID","아파트명","지번주소","세대수","임대수","동수","용적률","건폐율","주차대수"
"138405","거성리젠시(도시형)","서울 서대문구 북가좌동 273-8",8,0,1,246,47,7
"15636","거성마을","서울 강서구 화곡동 50-120",231,0,10,88,29,0
"1216","거성파스텔","서울 영등포구 양평동3가 90-1",532,0,7,365,24,693
"130303","거성팰리스(도시형)","서울 동대문구 용두동 129-127",29,0,3,195,47,24
"3190","거성푸르뫼","서울 구로구 개봉동 60-101",249,0,3,284,24,240
"108","거성푸르뫼2차","서울 구로구 개봉동 60-82",245,0,3,332,29,237
"268","거성학마을","서울 도봉구 방학동 701-15",347,0,3,339,29,0
"352","거여1단지","서울 송파구 거여동 290",1004,0,6,275,30,554
"353","거여2단지효성,동아","서울 송파구 거여동 291",478,0,11,235,21,915
"951","거여4단지","서울 송파구 거여동 293",546,0,6,240,24,0
"952","거여5단지","서울 송파구 거여동 294",605,0,6,344,29,470
"18990","거여역쌍용2차","서울 송파구 거여동 27-5",70,0,1,342,52,144
"125898","거여팰리스(도시형)","서울 송파구 거여동 563-10",24,24,1,349,48,0
"134253","거장노블레스","서울 은평구 불광동 274-1",4,0,1,357,49,3
"125182","거장메카","서울 은평구 응암동 577-28",29,0,1,369,59,23
"128002","거장메카","서울 은평구 녹번동 183-2",44,0,1,359,42,36
"135628","거장카운티","서울 은평구 녹번동 182",42,0,1,359,59,34
"16456","거평","서울 강남구 역삼동 794-28",19,0,1,265,44,35
"8431","거평프리젠","서울 강남구 논현동 196",113,0,1,332,36,72
"16504","건덕","서울 종로구 구기동 160-3",78,0,7,0,0,0
"11728","건양노블레스","서울 노원구 월계동 938",132,0,1,488,27,151
"130686","건양스위트홈(도시형)","서울 중랑구 망우동 420-39",15,0,1,180,55,10
"22314","건양하늘터","서울 종로구 명륜1가 23",55,0,1,247,28,61
"1000","건영","서울 강남구 청담동 108",240,0,2,397,33,418
"100235","건영","서울 동작구 상도동 414",1376,552,8,297,22,927
"1085","건영","서울 노원구 공릉동 404-3",90,0,1,398,33,83
"110","건영","서울 구로구 개봉동 47-1",209,0,2,313,22,138
"11418","건영","서울 양천구 신정동 890-13",35,0,1,227,33,28
"608","건영","서울 송파구 문정동 72-3",545,0,5,0,0,545
"651","건영","서울 양천구 목동 928",299,0,4,256,28,208
"717","건영","서울 영등포구 신길동 364",386,0,4,181,17,617
"9769","건영","서울 노원구 상계동 1321",87,0,1,396,59,72
"47","건영1차","서울 금천구 시흥동 992-2",260,0,3,186,0,208
"52","건영1차","서울 관악구 신림동 746-43",492,0,3,204,0,492
"836","건영1차","서울 중랑구 상봉동 1",408,0,4,303,21,816
"165","건영2차","서울 금천구 시흥동 384-12",619,0,3,244,17,434
"228","건영2차","서울 노원구 중계동 515-2",742,0,6,242,18,520
"53","건영2차","서울 관악구 신림동 721-2",338,0,4,242,0,338
"806","건영2차","서울 중랑구 상봉동 63",1113,0,14,302,18,907
"229","건영3차","서울 노원구 중계동 360-15",948,0,12,217,22,1075
"55","건영3차","서울 관악구 신림동 1703-1",783,0,7,250,22,299
"62","건영4차","서울 관악구 신림동 1702-1",236,0,3,300,23,165
"1044","건영6차","서울 관악구 봉천동 1701",184,0,3,394,28,173
"119486","건영아모리움(도시형)","서울 강동구 성내동 244-6",29,0,1,431,51,16
"3391","건영월드컵","서울 마포구 중동 393",206,0,2,310,19,250
"54","건영장미","서울 노원구 공릉동 744",215,0,2,363,33,219
"3369","건영캐스빌","서울 도봉구 창동 635-42",300,0,6,322,26,390
"9644","건영캐스빌","서울 중랑구 상봉동 499",467,0,9,257,19,539
"123417","건영타워(도시형)","서울 영등포구 대림동 709-6",20,0,1,305,58,5
"135308","건영포레스트빌(도시형)","서울 구로구 오류동 242-1",26,0,2,172,58,19
"23723","건우그린","서울 서대문구 창천동 359",13,0,1,224,39,13
"103606","건우샹그리라","서울 은평구 역촌동 32-35",18,0,1,258,48,22
"22644","건우한마음","서울 금천구 시흥동 929-33",48,0,1,235,31,57
"111573","건원베스트원(도시형)","서울 중랑구 면목동 105-4",29,0,1,359,45,16
"117155","건일팰리스","서울 서대문구 북아현동 1-52",19,0,1,224,51,20
"955","건진","서울 양천구 목동 761-13",18,0,1,247,59,12
"130410","결(도시형)","서울 광진구 자양동 680-6",14,14,1,359,55,7
"1241","경남","서울 중랑구 망우동 226",250,0,6,130,26,0
"28","경남","서울 강남구 개포동 649",678,0,9,174,16,816
"283","경남","서울 도봉구 쌍문동 73",264,0,2,230,0,0
"2989","경남","서울 광진구 자양동 641",232,0,2,349,27,249
"3048","경남","서울 강남구 도곡동 967",348,0,4,356,21,389
"3314","경남","서울 강남구 역삼동 722",164,0,1,384,43,228
"3385","경남","서울 동작구 신대방동 712",427,0,5,289,18,499
"3823","경남","서울 은평구 신사동 348-11",19,0,1,263,32,19
"586","경남","서울 성북구 정릉동 1015",866,0,8,327,22,802
"893","경남","서울 은평구 응암동 714",160,0,2,192,25,121
"913","경남","서울 금천구 시흥동 820-12",123,0,1,0,0,0
"230","경남,롯데,상아","서울 노원구 중계동 505",1890,0,15,234,18,963
"1070","경남1차","서울 구로구 고척동 325",163,0,1,274,25,136
"429","경남1차","서울 서대문구 북아현동 1006",106,0,1,319,41,91
"3485","경남2차","서울 서대문구 북아현동 1010",80,0,3,0,0,99
"1071","경남2차(아너스빌)","서울 구로구 고척동 306",273,0,3,311,26,272
"3384","경남교수","서울 동작구 신대방동 710",295,0,4,318,20,423
"1332","경남논현","서울 강남구 논현동 274",60,0,1,222,34,60
"22352","경남레이크파크","서울 송파구 송파동 32-1",36,0,1,678,59,38
"100466","경남아너스빌","서울 구로구 구로동 1285",129,0,3,215,19,149
"1058","경남아너스빌","서울 광진구 자양동 666-28",150,0,1,316,28,142
"11116","경남아너스빌","서울 영등포구 영등포동7가 46-1",600,0,8,360,24,706
"1217","경남아너스빌","서울 영등포구 양평동4가 51-1",198,0,1,0,0,213
"21645","경남아너스빌","서울 중랑구 면목동 1529",386,0,9,247,25,391
"22715","경남아너스빌","서울 마포구 신수동 455",90,0,3,251,26,102
"23819","경남아너스빌","서울 강북구 수유동 229-49",42,0,1,396,59,52
"376","경남아너스빌","서울 동작구 사당동 1134",340,0,3,290,29,344
"736","경남아너스빌","서울 영등포구 양평동3가 55-1",179,0,1,0,0,187
"8311","경남아너스빌","서울 구로구 오류동 344",296,0,5,267,20,322
"9354","경남아너스빌","서울 은평구 구산동 224",475,0,9,268,18,627
"9483","경남아너스빌","서울 노원구 중계동 597",299,0,2,357,25,346
"8786","경남아너스빌(1356)","서울 강북구 미아동 1356",860,0,11,287,20,1069
"14943","경남아너스빌(1455-9)","서울 서초구 서초동 1455-9",141,0,2,262,27,118
"13321","경남아너스빌(1608-28)","서울 서초구 서초동 1608-28",32,0,2,0,0,49
"23821","경남아너스빌(796)","서울 강북구 미아동 796",208,0,4,248,21,231
"9632","경남아너스빌1차","서울 양천구 신정동 1307",292,0,4,321,26,389
"127341","경남파크빌(도시형)","서울 강서구 등촌동 719",62,0,3,277,49,48
"17183","경남하이빌","서울 동대문구 장안동 578",66,0,1,296,41,74
"25447","경덕","서울 송파구 삼전동 72-9",19,0,1,238,44,19
"117588","경동미르웰여의도(도시형)","서울 영등포구 영등포동2가 94-129",77,0,1,399,55,42
"931","경동미주","서울 동대문구 제기동 892-68",228,0,3,0,0,0
"105881","경동엠파이어스테이트(도시형)","서울 강서구 화곡동 1111-3",63,0,1,757,59,25
"108134","경동엠파이어시티(도시형)","서울 강서구 화곡동 1051-7",22,0,1,274,55,3
"9310","경동윈츠리버","서울 동작구 본동 484",272,0,6,206,23,282
"111237","경동팰리스힐(도시형)","서울 강서구 방화동 898",60,0,1,199,45,14
"120337","경문(도시형)","서울 영등포구 영등포동2가 29-94",24,0,1,399,59,12
"15250","경방필","서울 강동구 둔촌동 518-6",19,0,1,253,37,21
"9960","경보그레이스힐","서울 강동구 성내동 596",77,0,1,290,26,88
"16692","경서","서울 중구 남창동 205-44",45,0,1,492,0,0
"121362","경성","서울 구로구 구로동 779-65",10,0,1,377,76,3
"3847","경원","서울 중랑구 신내동 449-1",80,0,2,0,0,0
"104632","경원로얄시티","서울 관악구 봉천동 148-139",19,0,1,226,47,22
